Start,Finish,Distance (mi),Steps (count)
24-Apr-2017 00:00,25-Apr-2017 00:00,1.91816044301221,3883.0
25-Apr-2017 00:00,26-Apr-2017 00:00,3.19532679153757,6957.0
26-Apr-2017 00:00,27-Apr-2017 00:00,2.28151967509725,4560.0
27-Apr-2017 00:00,28-Apr-2017 00:00,1.32426007118416,2846.0
28-Apr-2017 00:00,29-Apr-2017 00:00,2.47426901893038,5105.0
29-Apr-2017 00:00,30-Apr-2017 00:00,0.601412749542637,1306.0
30-Apr-2017 00:00,01-May-2017 00:00,4.85437177254094,12250.0
01-May-2017 00:00,02-May-2017 00:00,1.99753546236562,4166.2068897661
02-May-2017 00:00,03-May-2017 00:00,0.398782540496559,883.793110233898
03-May-2017 00:00,04-May-2017 00:00,1.4742342221413,2956.0
04-May-2017 00:00,05-May-2017 00:00,2.24668560605876,4827.0
05-May-2017 00:00,06-May-2017 00:00,0.194215779845736,418.0
06-May-2017 00:00,07-May-2017 00:00,2.42147110872525,5913.0
07-May-2017 00:00,08-May-2017 00:00,0.0,0.0
08-May-2017 00:00,09-May-2017 00:00,1.99123369521801,4102.0
09-May-2017 00:00,10-May-2017 00:00,1.88394153145588,3851.0
10-May-2017 00:00,11-May-2017 00:00,2.34623513362129,5062.0
11-May-2017 00:00,12-May-2017 00:00,0.661201085659733,1429.0
12-May-2017 00:00,13-May-2017 00:00,1.9471891178191,4099.0
13-May-2017 00:00,14-May-2017 00:00,1.74330658951683,3724.0
14-May-2017 00:00,15-May-2017 00:00,2.52179491822175,6352.0
15-May-2017 00:00,16-May-2017 00:00,3.54643258370917,7125.0
16-May-2017 00:00,17-May-2017 00:00,2.25109734152305,4656.0
17-May-2017 00:00,18-May-2017 00:00,1.95794062673951,4033.0
18-May-2017 00:00,19-May-2017 00:00,1.03440283742924,2197.0
19-May-2017 00:00,20-May-2017 00:00,1.47099687823144,3624.0
20-May-2017 00:00,21-May-2017 00:00,2.29609538079789,4923.0
21-May-2017 00:00,22-May-2017 00:00,0.975136453112885,2220.0
22-May-2017 00:00,23-May-2017 00:00,4.11404895410843,10524.0
23-May-2017 00:00,24-May-2017 00:00,2.48005398472959,5981.0
24-May-2017 00:00,25-May-2017 00:00,2.12134260916132,4333.0
25-May-2017 00:00,26-May-2017 00:00,2.11461315914717,4403.0
26-May-2017 00:00,27-May-2017 00:00,2.36177597828639,5332.0
27-May-2017 00:00,28-May-2017 00:00,1.13587896683356,2798.0
28-May-2017 00:00,29-May-2017 00:00,0.0229223832817163,52.0
29-May-2017 00:00,30-May-2017 00:00,3.24701855016593,7027.0
30-May-2017 00:00,31-May-2017 00:00,2.28833800551798,5321.0
31-May-2017 00:00,01-Jun-2017 00:00,2.54947978803735,5559.0
01-Jun-2017 00:00,02-Jun-2017 00:00,1.58787452870442,3806.0
02-Jun-2017 00:00,03-Jun-2017 00:00,2.1116407513676,5089.0
03-Jun-2017 00:00,04-Jun-2017 00:00,2.29225696929793,5008.0
04-Jun-2017 00:00,05-Jun-2017 00:00,4.88826104140383,11599.0
05-Jun-2017 00:00,06-Jun-2017 00:00,2.9807772543604,7370.0
06-Jun-2017 00:00,07-Jun-2017 00:00,1.15348862642147,2524.0
07-Jun-2017 00:00,08-Jun-2017 00:00,1.9519080494127,4788.0
08-Jun-2017 00:00,09-Jun-2017 00:00,2.85846299505393,7185.0
09-Jun-2017 00:00,10-Jun-2017 00:00,4.60762164608404,11009.0
10-Jun-2017 00:00,11-Jun-2017 00:00,5.34964824122219,13514.0
11-Jun-2017 00:00,12-Jun-2017 00:00,6.5784452085203,15926.0
12-Jun-2017 00:00,13-Jun-2017 00:00,2.15173253300943,5159.0
13-Jun-2017 00:00,14-Jun-2017 00:00,2.57587399742527,5783.0
14-Jun-2017 00:00,15-Jun-2017 00:00,1.85653844623614,5019.0
15-Jun-2017 00:00,16-Jun-2017 00:00,2.45096685865222,5737.0
16-Jun-2017 00:00,17-Jun-2017 00:00,3.65591585781088,8362.0
17-Jun-2017 00:00,18-Jun-2017 00:00,2.54798849717716,5533.0
18-Jun-2017 00:00,19-Jun-2017 00:00,1.779358546091,3977.0
19-Jun-2017 00:00,20-Jun-2017 00:00,3.85777429345944,9429.0
20-Jun-2017 00:00,21-Jun-2017 00:00,4.46826851112307,10427.0
21-Jun-2017 00:00,22-Jun-2017 00:00,3.35649594593668,8527.0
22-Jun-2017 00:00,23-Jun-2017 00:00,1.7500671080883,3939.0
23-Jun-2017 00:00,24-Jun-2017 00:00,3.46618871548109,7751.0
24-Jun-2017 00:00,25-Jun-2017 00:00,8.0644855714743,17982.0
25-Jun-2017 00:00,26-Jun-2017 00:00,1.433960131817,3485.0
26-Jun-2017 00:00,27-Jun-2017 00:00,1.97137619979343,4656.0
27-Jun-2017 00:00,28-Jun-2017 00:00,1.45558687266309,3090.0
28-Jun-2017 00:00,29-Jun-2017 00:00,2.21436809035219,4762.0
29-Jun-2017 00:00,30-Jun-2017 00:00,2.33764125428184,5927.0
30-Jun-2017 00:00,01-Jul-2017 00:00,2.33209895973662,5627.0
01-Jul-2017 00:00,02-Jul-2017 00:00,0.0,0.0
02-Jul-2017 00:00,03-Jul-2017 00:00,1.55481985206398,3441.0
03-Jul-2017 00:00,04-Jul-2017 00:00,0.0,0.0
04-Jul-2017 00:00,05-Jul-2017 00:00,1.36947103913148,3267.0
05-Jul-2017 00:00,06-Jul-2017 00:00,1.9405049510879,4465.0
06-Jul-2017 00:00,07-Jul-2017 00:00,2.42765996579807,5499.0
07-Jul-2017 00:00,08-Jul-2017 00:00,1.50929819852291,3190.0
08-Jul-2017 00:00,09-Jul-2017 00:00,1.18071181690846,2682.0
09-Jul-2017 00:00,10-Jul-2017 00:00,0.771432335163048,1826.0
10-Jul-2017 00:00,11-Jul-2017 00:00,1.68968846933973,3814.0
11-Jul-2017 00:00,12-Jul-2017 00:00,1.60131084466566,3828.0
12-Jul-2017 00:00,13-Jul-2017 00:00,1.44191049272212,3291.0
